Country,Region,Pop,Life,GDP,EXPORTABLE
Qatar ,ASIA,885359,77.959,69512.33141,TRUE
Reunion ,AFRICA,787584,78.879,5800,TRUE
Romania ,EUROPE,22303552,73.476,9361.297906,TRUE
Russia ,EUROPE,142893540,67.622,11852.80594,TRUE
Rwanda ,AFRICA,8648248,62.276,840.4746595,TRUE
Saint Lucia ,LATIN AMERICA,168458,74.425,8940.779941,TRUE
Saint Vincent and the Grenadines ,LATIN AMERICA,117848,72.174,8852.103268,TRUE
Samoa ,OCEANIA,176908,72.283,3831.106528,TRUE
Saudi Arabia ,ASIA,27019731,74.832,20405.80675,TRUE
Senegal ,AFRICA,11987121,62.934,1677.001149,TRUE
Serbia ,EUROPE,9396411,73.676,8516.986258,TRUE
Seychelles ,AFRICA,81541,72.724,18002.51502,TRUE
Sierra Leone ,AFRICA,6005250,44.846,646.9881237,TRUE
Singapore ,ASIA,4492150,81.788,45374.23755,TRUE
Slovenia ,EUROPE,2010347,79.125,23475.57268,TRUE
Solomon Islands ,OCEANIA,552438,67.027,2072.775217,TRUE
Somalia ,AFRICA,8863338,53,500,TRUE
South Africa ,AFRICA,44187637,54.547,8596.830871,TRUE
Spain ,EUROPE,40397842,81.656,27392.04339,TRUE
Sri Lanka ,ASIA,20222240,73.79,3550.213338,TRUE
Sudan ,AFRICA,41236378,61.49,1612.988311,TRUE
Suriname ,LATIN AMERICA,439117,70.309,6128.516605,TRUE
Swaziland ,AFRICA,1136334,48.398,4904.799832,TRUE
Sweden ,EUROPE,9016596,81.426,32702.98278,TRUE
Switzerland ,EUROPE,7523934,82.192,35784.01319,TRUE
Syria ,ASIA,18881361,74.693,4133.448396,TRUE
Taiwan ,ASIA,23036087,79.15,23400,TRUE
Tajikistan ,ASIA,7320815,66.83,1500.281533,TRUE
Tanzania ,AFRICA,37445392,59.224,1070.132597,TRUE
Thailand ,ASIA,64631595,73.852,6674.740219,TRUE
Togo ,AFRICA,5548702,55.514,858.2173261,TRUE
Tonga ,OCEANIA,114689,72.209,4138.926656,TRUE
Tunisia ,AFRICA,10175014,75.147,7182.365625,TRUE
Turkey ,ASIA,70413958,74.274,11464.73258,TRUE
Turkmenistan ,C.W. OF IND. STATES,5042920,65,4761.854441,TRUE
Uganda ,AFRICA,28195754,57.319,911.0814533,TRUE
Ukraine ,EUROPE,46710816,68.188,5583.399175,TRUE
United Arab Emirates ,ASIA,2602713,76.325,66854.72186,TRUE
United Kingdom ,EUROPE,60609153,80.085,32737.9538,TRUE
United States ,AMERICA,298444215,78.507,42516.39347,TRUE
Uruguay ,LATIN AMERICA,3431932,76.787,9682.791069,TRUE
Uzbekistan ,ASIA,27307134,67.871,2000.965505,TRUE
Vanuatu ,OCEANIA,208869,70.761,3500.014905,TRUE
Venezuela ,LATIN AMERICA,25730435,74.159,9924.462109,TRUE
Vietnam ,ASIA,84402966,75.49,2161.272404,TRUE
Zambia ,AFRICA,11502010,54.549,1157.593472,TRUE
Zimbabwe ,AFRICA,12236805,53.684,1900,TRUE
